第1回,7,10,12,17,23,28,34,3,15
第2回,20,24,29,31,33,34,35,12,32
第3回,2,7,8,11,14,23,31,5,15
第4回,12,13,22,23,24,28,29,2,14
第5回,1,3,4,5,16,21,28,22,31
第6回,5,15,19,23,30,34,35,6,25
第7回,1,3,5,7,27,29,33,6,15
第8回,2,21,28,29,30,32,36,6,8
第9回,3,4,15,23,27,30,36,13,35
第10回,1,2,3,6,24,28,30,16,20
第11回,9,15,26,29,32,34,36,14,35
第12回,11,12,14,19,26,27,33,24,32
第13回,6,10,16,21,27,28,35,15,34
第14回,4,7,8,9,24,28,30,34,36
第15回,2,10,14,17,23,25,35,8,29
第16回,5,6,9,13,16,21,23,8,34
第17回,2,3,5,22,34,36,37,7,15
第18回,12,17,21,24,29,31,36,20,26
第19回,2,14,19,20,21,22,31,1,15
第20回,2,5,13,20,21,23,28,11,22
第21回,1,9,13,15,25,30,33,19,28
第22回,2,4,8,9,15,23,25,3,10
第23回,4,8,11,25,28,29,30,14,32
第24回,4,5,8,10,16,19,33,2,29
第25回,1,6,11,16,17,18,21,10,24
第26回,11,13,16,18,26,31,36,21,27
第27回,1,10,11,14,17,18,28,25,26
第28回,6,7,12,15,19,35,37,1,11
第29回,2,3,16,17,24,26,28,15,31
第30回,6,8,13,22,26,32,36,16,34
第31回,9,12,13,19,23,33,34,20,32
第32回,3,8,15,18,27,29,37,31,34
第33回,1,4,17,24,29,33,36,19,30
第34回,4,6,7,23,24,32,35,8,27
第35回,1,16,18,19,25,30,34,26,36
第36回,5,6,10,11,20,28,36,25,37
第37回,7,8,10,13,14,19,37,29,33
第38回,4,14,19,22,24,29,34,8,31
第39回,7,13,19,23,25,26,30,1,18
第40回,2,6,11,23,26,31,34,7,20
第41回,2,3,8,15,34,35,36,25,28
第42回,2,15,16,17,23,31,33,8,26
第43回,4,6,7,8,24,31,37,5,13
第44回,3,4,6,15,27,28,29,1,14
第45回,1,2,9,18,21,27,33,25,31
第46回,2,5,6,15,23,27,30,4,35
第47回,2,9,11,14,20,21,36,6,15
第48回,3,5,24,26,29,30,34,8,35
第49回,8,11,12,17,24,26,27,14,21
第50回,3,4,7,8,15,24,29,11,16
第51回,1,4,5,8,20,23,35,15,33
第52回,8,10,22,24,26,32,34,5,9
第53回,1,4,14,16,20,33,36,12,30
第54回,1,3,5,10,18,22,23,7,35
第55回,4,12,14,17,23,30,36,13,33
第56回,4,23,26,27,28,32,36,29,30
第57回,5,6,12,16,17,20,33,8,32
第58回,1,6,7,8,23,32,33,11,34
第59回,5,8,12,13,21,30,35,27,34
第60回,3,7,9,15,16,23,34,5,33
第61回,5,10,11,21,28,31,37,13,14
第62回,4,10,12,15,27,32,33,9,16
第63回,4,8,19,24,28,30,32,12,37
第64回,4,15,16,17,20,29,36,19,26
第65回,4,7,12,22,23,24,28,25,34
第66回,1,11,25,28,31,33,37,3,20
第67回,7,11,15,17,18,25,35,6,33
第68回,2,7,13,15,24,34,35,12,23
第69回,13,17,20,22,28,29,37,11,12
第70回,9,10,18,21,27,33,35,4,11
第71回,1,6,13,29,34,35,37,2,15
第72回,11,12,18,19,20,31,32,9,21
第73回,12,16,23,25,27,30,32,28,33
第74回,5,13,14,15,16,24,31,9,11
第75回,4,9,15,17,19,35,37,10,20
第76回,4,13,18,29,32,34,36,24,33
第77回,3,10,23,25,26,28,30,15,29
第78回,5,6,10,14,24,28,36,7,20
第79回,2,4,7,9,21,29,37,6,36
第80回,2,5,10,18,21,24,27,25,34
第81回,1,3,10,18,28,31,35,9,21
第82回,1,3,16,20,25,27,34,18,37
第83回,1,11,21,26,28,32,35,18,22
第84回,8,16,23,28,29,35,36,12,37
第85回,6,7,10,11,22,26,35,14,23
第86回,3,10,20,21,22,26,30,24,35
第87回,8,9,12,18,20,28,31,13,15
第88回,3,4,10,14,25,29,30,18,19
第89回,1,3,11,26,28,34,36,17,20
第90回,2,8,9,13,14,18,37,11,25
第91回,1,5,7,14,15,25,35,18,24
第92回,4,5,15,25,26,29,32,11,27
第93回,2,5,11,14,17,30,32,31,37
第94回,13,19,20,27,28,29,30,26,36
第95回,1,8,13,14,18,30,34,26,36
第96回,9,11,14,21,22,23,24,10,36
第97回,7,13,14,16,22,24,35,1,29
第98回,3,9,11,13,19,25,33,10,30
第99回,13,17,22,24,27,28,35,11,19
第100回,1,2,11,16,25,35,36,9,14
第101回,11,12,21,23,28,36,37,3,16
第102回,1,4,8,27,28,29,31,13,25
第103回,2,3,11,12,22,35,36,30,34
第104回,7,9,11,15,16,22,37,12,13
第105回,3,15,19,20,26,28,33,17,21
第106回,6,10,12,19,21,22,30,1,11
第107回,3,8,9,13,17,27,33,29,31
第108回,2,6,7,8,28,30,36,18,21
第109回,6,17,20,21,24,30,32,7,23
第110回,4,12,22,30,31,35,36,19,37
第111回,7,8,9,24,28,30,33,1,34
第112回,6,7,10,15,27,35,36,13,20
第113回,4,6,7,9,15,17,37,14,20
第114回,8,13,26,27,28,29,37,4,12
第115回,6,8,13,14,20,25,27,24,26
第116回,9,14,23,27,28,31,32,3,20
第117回,9,10,20,28,31,34,37,23,26
第118回,5,8,9,24,27,28,30,16,20
第119回,3,6,8,14,15,25,36,24,35
第120回,2,16,18,26,32,35,37,9,36
第121回,2,4,13,16,21,30,37,19,29
第122回,2,16,18,26,27,34,35,5,12
第123回,1,3,5,8,29,34,36,23,28
第124回,1,2,15,17,18,22,36,6,27
第125回,1,6,11,14,19,28,35,18,21
第126回,4,10,13,16,17,21,27,1,18
第127回,10,12,15,23,28,30,35,6,25
第128回,2,4,8,23,26,27,32,3,35
第129回,5,7,11,19,24,27,30,29,35
第130回,1,15,20,23,25,31,32,5,24
第131回,3,4,12,17,32,34,36,23,31
第132回,7,10,14,16,20,30,31,35,37
第133回,3,7,13,15,17,21,30,14,27
第134回,4,9,20,28,30,34,35,12,29
第135回,8,9,13,14,24,32,34,3,4
第136回,10,17,24,27,30,33,37,18,31
第137回,13,19,21,25,27,32,35,16,20
第138回,2,5,17,20,21,32,33,30,35
第139回,9,16,18,21,23,34,35,4,36
第140回,3,11,12,13,17,26,35,1,33
第141回,2,10,18,30,31,32,36,21,29
第142回,6,12,14,18,21,27,28,1,33
第143回,1,3,8,14,28,29,33,4,31
第144回,2,9,13,18,22,32,36,17,26
第145回,10,12,18,28,29,30,35,4,19
第146回,4,10,25,27,28,33,34,15,35
第147回,1,5,7,12,15,24,25,8,14
第148回,1,9,11,16,20,30,34,12,33
第149回,1,4,15,19,22,23,31,12,32
第150回,6,7,14,20,27,31,34,11,24
第151回,9,10,13,15,21,22,24,4,8
第152回,8,12,17,21,23,24,31,6,7
第153回,7,9,10,16,20,28,37,2,33
第154回,2,4,19,21,24,28,35,3,13
第155回,2,9,13,18,22,24,26,10,37
第156回,4,9,16,19,22,33,34,17,36
第157回,5,9,16,26,28,29,32,1,37
第158回,3,6,7,30,32,36,37,5,20
第159回,10,14,17,21,23,27,31,16,24
第160回,1,2,8,24,32,36,37,23,33
第161回,8,14,17,18,20,22,34,4,30
第162回,2,7,8,12,14,23,27,6,10
第163回,1,2,6,16,28,30,31,3,7
第164回,3,13,20,23,31,35,36,2,11
